City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
493,Vilhena,BR,63.61,clear sky,-12.7406,-60.1458,Hotel Mirage
495,Bichura,RU,71.73,clear sky,50.5881,107.6022,Gostinitsa Uyut
496,Padang,ID,84.25,scattered clouds,-0.9492,100.3543,Mercure Padang
498,Masallatah,LY,73.9,clear sky,32.6167,14.0,Mustafa Taher Sowaidan
499,Magdagachi,RU,61.2,overcast clouds,53.45,125.8,Motopolyana Magdagachi
502,Nushki,PK,87.04,scattered clouds,29.5542,66.0215,Shams hotel
503,Mabaruma,GY,73.35,clear sky,8.2,-59.7833,Monty Brooms Guest House
504,Greencastle,US,73.26,clear sky,39.6445,-86.8647,College Inn
505,North Bend,US,68.23,few clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
506,Suffolk,US,76.86,clear sky,40.8668,-72.7996,Greenwood Village
507,Caravelas,BR,72.55,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
