City_ID,City_ID,City_ID.1,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
71,71,71,Carnarvon,AU,-24.8667,113.6333,67.93,26,0,21.68,clear sky
72,72,72,Parlakimidi,IN,18.7667,84.0833,82.18,78,100,2.15,overcast clouds
73,73,73,Ilhabela,BR,-23.7781,-45.3581,64.81,80,89,3.78,overcast clouds
74,74,74,Kloulklubed,PW,7.0419,134.2556,81.1,65,85,3.09,overcast clouds
75,75,75,Saldanha,ZA,-33.0117,17.9442,55.45,87,100,13.58,light rain
76,76,76,Hanstholm,DK,57.1167,8.6167,61.23,81,7,4.97,clear sky
77,77,77,Husavik,IS,66.0449,-17.3389,48.58,77,84,6.78,broken clouds
78,78,78,Dikson,RU,73.5069,80.5464,45.12,88,86,22.59,overcast clouds
79,79,79,Kibala,TD,9.1104,18.3463,70.5,99,100,6.08,heavy intensity rain
80,80,80,Lompoc,US,34.6391,-120.4579,71.74,76,0,11.5,clear sky
81,81,81,Qaanaaq,GL,77.484,-69.3632,37.04,76,99,6.73,overcast clouds
82,82,82,Avera,US,33.194,-82.5271,73.54,67,47,6.96,scattered clouds
83,83,83,San Jose,US,37.3394,-121.895,78.91,60,20,18.41,few clouds
84,84,84,Tasiilaq,GL,65.6145,-37.6368,33.96,78,9,2.26,clear sky
85,85,85,Bubaque,GW,11.2833,-15.8333,79.74,82,100,14.65,light rain
86,86,86,Jamestown,US,42.097,-79.2353,69.39,55,20,5.75,few clouds
87,87,87,Ribeira Grande,PT,38.5167,-28.7,74.8,79,100,11.48,overcast clouds
88,88,88,Santa Cruz,BO,-17.8,-63.1667,60.26,63,0,5.75,clear sky
89,89,89,Aras,ES,42.5617,-2.356,66.61,83,0,0.0,clear sky
90,90,90,Olavarria,AR,-36.8927,-60.3225,49.01,82,0,7.54,clear sky
91,91,91,Beruwala,LK,6.4788,79.9828,80.11,87,15,8.12,heavy intensity rain
92,92,92,Kimbe,PG,-5.5502,150.1429,79.5,83,100,4.85,light rain
93,93,93,Zhigansk,RU,66.7697,123.3711,54.41,62,100,23.85,overcast clouds
94,94,94,Butaritari,KI,3.0707,172.7902,82.18,75,27,13.27,scattered clouds
95,95,95,Adrar,MR,20.5022,-10.0711,91.38,36,1,4.92,clear sky
96,96,96,Kruisfontein,ZA,-34.0033,24.7314,52.88,86,100,5.55,overcast clouds
97,97,97,Oktyabrskiy,RU,54.4815,53.471,55.42,82,6,1.72,clear sky
98,98,98,Margate,GB,51.3813,1.3862,70.3,92,26,3.0,scattered clouds
99,99,99,Allapalli,IN,19.4167,80.0667,76.41,93,94,6.22,overcast clouds
100,100,100,Korla,CN,41.7597,86.1469,89.06,25,59,17.98,broken clouds
101,101,101,Thompson,CA,55.7435,-97.8558,73.56,53,40,5.75,scattered clouds
102,102,102,Micheldorf,AT,46.9222,14.4405,55.2,91,87,3.24,overcast clouds
103,103,103,Kushiro,JP,42.975,144.3747,74.35,88,75,8.05,light rain
104,104,104,Wembley,AU,-31.9333,115.8,63.19,61,0,18.41,clear sky
105,105,105,Airai,TL,-8.9266,125.4092,71.47,59,42,2.75,scattered clouds
106,106,106,Namibe,AO,-15.1961,12.1522,60.42,89,20,0.78,few clouds
107,107,107,Axim,GH,4.8699,-2.2405,74.68,83,100,8.03,overcast clouds
108,108,108,Talnakh,RU,69.4865,88.3972,54.21,82,100,5.75,light rain
109,109,109,Ucluelet,CA,48.9329,-125.5528,66.09,82,0,1.01,clear sky
110,110,110,Cockburn Town,TC,21.4612,-71.1419,82.29,75,26,19.01,scattered clouds
111,111,111,Deputatskiy,RU,69.3,139.9,46.8,80,100,3.94,overcast clouds
112,112,112,Punta Arenas,CL,-53.15,-70.9167,33.12,86,0,9.22,clear sky
113,113,113,Avarua,CK,-21.2078,-159.775,77.05,78,75,13.8,broken clouds
114,114,114,Mahebourg,MU,-20.4081,57.7,66.49,82,40,12.66,scattered clouds
115,115,115,Dovolnoye,RU,54.4958,79.6671,67.66,59,36,11.3,scattered clouds
116,116,116,Jega,NG,12.2175,4.3792,72.82,90,97,4.32,overcast clouds
117,117,117,Khatanga,RU,71.9667,102.5,50.58,61,99,10.85,overcast clouds
118,118,118,Saint-Augustin,CA,51.226,-58.6502,61.95,94,100,13.65,overcast clouds
119,119,119,Nikolskoye,RU,59.7035,30.7861,62.8,86,100,6.64,overcast clouds
120,120,120,La Baule-Escoublac,FR,47.2922,-2.364,71.26,54,0,3.44,clear sky
121,121,121,Ilulissat,GL,69.2167,-51.1,41.02,87,100,3.44,overcast clouds
122,122,122,Kavaratti,IN,10.5669,72.642,81.05,84,100,18.99,overcast clouds
123,123,123,Ancud,CL,-41.8697,-73.8203,48.94,94,100,22.35,moderate rain
124,124,124,Gazimurskiy Zavod,RU,51.5461,118.3266,58.17,93,100,1.5,overcast clouds
125,125,125,Makakilo City,US,21.3469,-158.0858,88.12,50,0,20.71,clear sky
126,126,126,Faanui,PF,-16.4833,-151.75,78.93,73,3,13.47,clear sky
127,127,127,Leningradskiy,RU,69.3833,178.4167,47.68,78,100,4.52,overcast clouds
128,128,128,Geraldton,AU,-28.7667,114.6,61.21,55,0,23.02,clear sky
129,129,129,Ereymentau,KZ,51.6199,73.1033,64.42,79,0,5.55,clear sky
130,130,130,Boyolangu,ID,-8.1181,111.8935,81.34,77,79,4.41,broken clouds
131,131,131,Fairbanks,US,64.8378,-147.7164,73.4,40,20,3.44,few clouds
132,132,132,Monrovia,LR,6.3005,-10.7969,76.21,85,94,13.42,light rain
133,133,133,Winnemucca,US,40.973,-117.7357,91.45,22,0,10.36,clear sky
134,134,134,Makushino,RU,55.2103,67.2442,62.53,93,100,8.08,light rain
135,135,135,Beitbridge,ZW,-22.2167,30.0,64.02,54,0,3.6,clear sky
136,136,136,Kadiri,IN,14.1167,78.1667,75.54,70,89,18.19,overcast clouds
